scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,gt_scope,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,selective_global_budget_bytes,selective_global_admitted_bytes,selective_global_candidate_bytes,selective_global_admitted_links,selective_global_candidate_links,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,edgecooper_pmax_density_cap_rho,local_preserving_output,local_preserving_extra_calls,local_preserving_extra_point_counts_json,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000060,1,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,1;4,1;4,4,"{""4"": 7}","{""1"": 13948, ""4"": 6741}",107856,59.995550611790875,10,40.0,60.0,,,,,,,1,1,"{""1"": 13948}",,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],4>1:5,,27,72,
2026_07_29_02_32_08,000060,2,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,2,2,,{},"{""2"": 13829}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,22,72,
2026_07_29_02_32_08,000060,3,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,3;18,3,,{},"{""3"": 14168}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,18,65,
2026_07_29_02_32_08,000060,4,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,1;4,4,,{},"{""4"": 13839}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,20,71,
2026_07_29_02_32_08,000060,5,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,5;9;10,5;9;10,9;10,"{""9"": 6, ""10"": 30}","{""5"": 13942, ""9"": 6742, ""10"": 5554}",196736,59.995550611790875,10,40.0,60.0,,,,,,,1,1,"{""5"": 13942}",,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],9>5:2;10>5:1,,25,48,
2026_07_29_02_32_08,000060,6,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,6;15,6,,{},"{""6"": 12973}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,12,49,
2026_07_29_02_32_08,000060,7,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,7,7,,{},"{""7"": 13936}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,24,51,
2026_07_29_02_32_08,000060,8,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,8;11,8,,{},"{""8"": 13742}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,21,47,
2026_07_29_02_32_08,000060,9,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,5;9,9,,{},"{""9"": 13819}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,19,54,
2026_07_29_02_32_08,000060,10,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,5;10,10,,{},"{""10"": 14073}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,22,66,
2026_07_29_02_32_08,000060,11,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,8;11,11;8,8,"{""8"": 23}","{""8"": 1919, ""11"": 13866}",30704,59.995550611790875,10,40.0,60.0,,,,,,,1,1,"{""11"": 13866}",,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],8>11:4,,22,69,
2026_07_29_02_32_08,000060,12,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,12,12,,{},"{""12"": 13881}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,21,53,
2026_07_29_02_32_08,000060,13,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,13,13,,{},"{""13"": 13569}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,12,55,
2026_07_29_02_32_08,000060,14,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,14,14,,{},"{""14"": 14331}",0,59.995550611790875,10,40.0,60.0,,,,,,,0,,{},,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],,,3,7,
2026_07_29_02_32_08,000060,15,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,fullperception_pcs,full-frame,grid,utility,utility,none,0,0,,singleton,20,,,,,,,6;15,15;6,6,"{""6"": 6}","{""6"": 6741, ""15"": 13458}",107856,59.995550611790875,10,40.0,60.0,,,,,,,1,1,"{""15"": 13458}",,2,ns3,899,0.5,10,12,28,1,1,[59.995550611790875],[874640],6>15:0,,17,59,
