scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4918, ""2"": 4863, ""3"": 4977, ""4"": 4886, ""5"": 4909, ""6"": 4556, ""7"": 4908, ""8"": 4838, ""9"": 4858, ""10"": 4953, ""11"": 4909, ""12"": 4891, ""13"": 4793, ""14"": 5044, ""15"": 4740, ""16"": 4857, ""17"": 4967, ""18"": 5003, ""19"": 4844, ""20"": 4909}",1483280,3>1:0;17>1:1,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,71,
2026_07_15_01_26_56,000062,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4921, ""2"": 4862, ""3"": 4976, ""4"": 4848, ""5"": 4912, ""6"": 4561, ""7"": 4906, ""8"": 4838, ""9"": 4859, ""10"": 4955, ""11"": 4909, ""12"": 4894, ""13"": 4793, ""14"": 5042, ""15"": 4745, ""16"": 4866, ""17"": 4985, ""18"": 5017, ""19"": 4823, ""20"": 4908}",1483184,3>1:0;17>1:1,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,64,71,
2026_07_15_01_26_56,000064,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4921, ""2"": 4878, ""3"": 4976, ""4"": 4872, ""5"": 4913, ""6"": 4595, ""7"": 4911, ""8"": 4837, ""9"": 4856, ""10"": 4948, ""11"": 4912, ""12"": 4896, ""13"": 4794, ""14"": 5060, ""15"": 4750, ""16"": 4850, ""17"": 4966, ""18"": 5016, ""19"": 4819, ""20"": 4908}",1484112,3>1:0;17>1:1,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,60,72,
2026_07_15_01_26_56,000066,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4922, ""2"": 4878, ""3"": 4982, ""4"": 4866, ""5"": 4912, ""6"": 4590, ""7"": 4902, ""8"": 4838, ""9"": 4856, ""10"": 4946, ""11"": 4913, ""12"": 4884, ""13"": 4794, ""14"": 5042, ""15"": 4740, ""16"": 4854, ""17"": 4984, ""18"": 5001, ""19"": 4818, ""20"": 4909}",1483344,3>1:0;17>1:1,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,61,72,
2026_07_15_01_26_56,000068,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4924, ""2"": 4870, ""3"": 4987, ""4"": 4848, ""5"": 4912, ""6"": 4599, ""7"": 4901, ""8"": 4838, ""9"": 4858, ""10"": 4934, ""11"": 4911, ""12"": 4882, ""13"": 4795, ""14"": 5028, ""15"": 4743, ""16"": 4887, ""17"": 4976, ""18"": 5012, ""19"": 4818, ""20"": 4909}",1483328,3>1:0;17>1:1,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,72,
2026_07_15_01_26_56,000070,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4925, ""2"": 4882, ""3"": 4953, ""4"": 4851, ""5"": 4907, ""6"": 4608, ""7"": 4909, ""8"": 4840, ""9"": 4857, ""10"": 4949, ""11"": 4909, ""12"": 4888, ""13"": 4795, ""14"": 5031, ""15"": 4740, ""16"": 4856, ""17"": 4972, ""18"": 5042, ""19"": 4824, ""20"": 4909}",1483552,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,57,72,
2026_07_15_01_26_56,000072,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4928, ""2"": 4864, ""3"": 4951, ""4"": 4868, ""5"": 4908, ""6"": 4599, ""7"": 4909, ""8"": 4842, ""9"": 4857, ""10"": 4930, ""11"": 4908, ""12"": 4892, ""13"": 4800, ""14"": 5044, ""15"": 4748, ""16"": 4868, ""17"": 4977, ""18"": 5002, ""19"": 4826, ""20"": 4907}",1483200,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,71,
2026_07_15_01_26_56,000074,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4931, ""2"": 4872, ""3"": 4963, ""4"": 4850, ""5"": 4914, ""6"": 4599, ""7"": 4926, ""8"": 4842, ""9"": 4857, ""10"": 4948, ""11"": 4906, ""12"": 4881, ""13"": 4800, ""14"": 5017, ""15"": 4753, ""16"": 4872, ""17"": 4954, ""18"": 4980, ""19"": 4825, ""20"": 4907}",1482656,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,70,
2026_07_15_01_26_56,000076,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4934, ""2"": 4873, ""3"": 4935, ""4"": 4853, ""5"": 4910, ""6"": 4624, ""7"": 4905, ""8"": 4841, ""9"": 4859, ""10"": 4943, ""11"": 4905, ""12"": 4903, ""13"": 4773, ""14"": 5022, ""15"": 4754, ""16"": 4885, ""17"": 5003, ""18"": 4986, ""19"": 4821, ""20"": 4906}",1483216,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,70,
2026_07_15_01_26_56,000078,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4934, ""2"": 4851, ""3"": 4932, ""4"": 4858, ""5"": 4911, ""6"": 4635, ""7"": 4919, ""8"": 4841, ""9"": 4857, ""10"": 4935, ""11"": 4907, ""12"": 4895, ""13"": 4778, ""14"": 5015, ""15"": 4753, ""16"": 4880, ""17"": 4995, ""18"": 5018, ""19"": 4823, ""20"": 4908}",1483376,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,60,70,
