scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,gt_scope,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,selective_global_budget_bytes,selective_global_admitted_bytes,selective_global_candidate_bytes,selective_global_admitted_links,selective_global_candidate_links,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,edgecooper_pmax_density_cap_rho,local_preserving_output,local_preserving_extra_calls,local_preserving_extra_point_counts_json,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000060,1,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,full-frame,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,1,1;2;8;11,2;8;11,"{""2"": 12, ""8"": 12, ""11"": 12}","{""1"": 13948, ""2"": 1181, ""8"": 909, ""11"": 1486}",57216,3.182202447163515,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""1"": 13948}",,2,ns3,899,0.5,10,12,28,,,[],[],,2;8;11,30,72,
2026_07_29_02_32_08,000060,2,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,full-frame,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,2,2;1;10;11,1;10;11,"{""1"": 13, ""10"": 13, ""11"": 11}","{""1"": 732, ""2"": 13829, ""10"": 1960, ""11"": 733}",54800,3.0478309232480534,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""2"": 13829}",,2,ns3,899,0.5,10,12,28,,,[],[],,1;10;11,28,72,
2026_07_29_02_32_08,000060,3,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,full-frame,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,3,3;17;18,17;18,"{""17"": 13, ""18"": 13}","{""3"": 14168, ""17"": 1196, ""18"": 1611}",44912,2.4978865406006676,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""3"": 14168}",,2,ns3,899,0.5,10,12,28,,,[],[],,17;18,19,65,
2026_07_29_02_32_08,000060,4,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,full-frame,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,4,4;1;7;12,1;7;12,"{""1"": 13, ""7"": 12, ""12"": 12}","{""1"": 2043, ""4"": 13839, ""7"": 1679, ""12"": 1064}",76576,4.258954393770857,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""4"": 13839}",,2,ns3,899,0.5,10,12,28,,,[],[],,1;7;12,33,71,
2026_07_29_02_32_08,000060,5,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,full-frame,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,5,5;7;13;20,7;13;20,"{""7"": 12, ""13"": 12, ""20"": 12}","{""5"": 13942, ""7"": 1521, ""13"": 1915, ""20"": 1034}",71520,3.977753058954394,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""5"": 13942}",,2,ns3,899,0.5,10,12,28,,,[],[],,7;13;20,25,48,
2026_07_29_02_32_08,000060,6,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,full-frame,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,6,6;15,15,"{""15"": 13}","{""6"": 12973, ""15"": 1263}",20208,1.1239154616240266,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""6"": 12973}",,2,ns3,899,0.5,10,12,28,,,[],[],,15,13,49,
2026_07_29_02_32_08,000060,7,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,full-frame,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,7,7;4;12;20,4;12;20,"{""4"": 12, ""12"": 13, ""20"": 13}","{""4"": 1166, ""7"": 13936, ""12"": 1851, ""20"": 1061}",65248,3.6289210233592883,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""7"": 13936}",,2,ns3,899,0.5,10,12,28,,,[],[],,4;12;20,32,51,
2026_07_29_02_32_08,000060,8,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,full-frame,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,8,8;1;4;11,1;4;11,"{""1"": 12, ""4"": 12, ""11"": 12}","{""1"": 1233, ""4"": 1707, ""8"": 13742, ""11"": 1556}",71936,4.000889877641824,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""8"": 13742}",,2,ns3,899,0.5,10,12,28,,,[],[],,1;4;11,31,47,
2026_07_29_02_32_08,000060,9,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,full-frame,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,9,9;5;13;19,5;13;19,"{""5"": 13, ""13"": 12, ""19"": 12}","{""5"": 1456, ""9"": 13819, ""13"": 1031, ""19"": 621}",49728,2.7657397107897665,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""9"": 13819}",,2,ns3,899,0.5,10,12,28,,,[],[],,5;13;19,23,54,
2026_07_29_02_32_08,000060,10,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,full-frame,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,10,10;8;16;19,8;16;19,"{""8"": 13, ""16"": 12, ""19"": 13}","{""8"": 1390, ""10"": 14073, ""16"": 2168, ""19"": 970}",72448,4.0293659621802,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""10"": 14073}",,2,ns3,899,0.5,10,12,28,,,[],[],,8;16;19,27,66,
